,CUID,Species,Year,LGL counts,Total run,Region
797,404,Chum,1986,5891,11724,Nass
798,408,Coho,1986,NA,NA,Nass
799,410,Coho,1986,NA,NA,Nass
800,409,Coho,1986,NA,NA,Nass
801,414,Pink (Odd),1986,NA,NA,Nass
802,219,Pink (Even),1986,2943006,6670315,Nass
803,412,Pink (Even),1986,NA,NA,Nass
804,415,Pink (Odd),1986,NA,NA,Nass
805,420,Lake Sockeye,1986,NA,NA,Nass
806,418,Lake Sockeye,1986,NA,NA,Nass
807,421,Lake Sockeye,1986,10000,43837,Nass
808,422,Lake Sockeye,1986,25000,78895,Nass
809,423,Lake Sockeye,1986,NA,NA,Nass
810,419,Lake Sockeye,1986,NA,NA,Nass
811,424,Lake Sockeye,1986,115543,316542,Nass
812,425,Lake Sockeye,1986,NA,NA,Nass
813,426,River Sockeye,1986,2701,4527,Nass
814,427,River Sockeye,1986,NA,NA,Nass
815,401,Chinook,1987,1930,2448,Nass
816,402,Chinook,1987,19540,25699,Nass
817,405,Chum,1987,6775,12191,Nass
818,406,Chum,1987,35574,64012,Nass
819,404,Chum,1987,11553,20789,Nass
820,408,Coho,1987,NA,NA,Nass
821,410,Coho,1987,NA,NA,Nass
822,409,Coho,1987,NA,NA,Nass
823,414,Pink (Odd),1987,555485,1245983,Nass
824,219,Pink (Even),1987,NA,NA,Nass
825,412,Pink (Even),1987,NA,NA,Nass
826,415,Pink (Odd),1987,NA,NA,Nass
827,420,Lake Sockeye,1987,NA,NA,Nass
828,418,Lake Sockeye,1987,NA,NA,Nass
829,421,Lake Sockeye,1987,2000,7745,Nass
830,422,Lake Sockeye,1987,7500,20874,Nass
831,423,Lake Sockeye,1987,NA,NA,Nass
832,419,Lake Sockeye,1987,NA,NA,Nass
833,424,Lake Sockeye,1987,143989,355053,Nass
834,425,Lake Sockeye,1987,NA,NA,Nass
835,426,River Sockeye,1987,2701,4245,Nass
836,427,River Sockeye,1987,NA,NA,Nass
837,401,Chinook,1988,1503,1906,Nass
838,402,Chinook,1988,15345,20182,Nass
839,405,Chum,1988,27100,39104,Nass
840,406,Chum,1988,28564,41217,Nass
841,404,Chum,1988,42233,60941,Nass
842,408,Coho,1988,NA,NA,Nass
843,410,Coho,1988,NA,NA,Nass
844,409,Coho,1988,NA,NA,Nass
845,414,Pink (Odd),1988,NA,NA,Nass
846,219,Pink (Even),1988,1442672,3057099,Nass
847,412,Pink (Even),1988,NA,NA,Nass
848,415,Pink (Odd),1988,NA,NA,Nass
849,420,Lake Sockeye,1988,NA,NA,Nass
850,418,Lake Sockeye,1988,NA,NA,Nass
